time_s,radius_m,max_C,max_radius_m,mean_C,T_surface_C,C_surface,T_r0.0cm_C,T_r0.1cm_C,T_r0.2cm_C,T_r0.3cm_C,T_r0.4cm_C,T_r0.5cm_C,T_r0.6cm_C,T_r0.7cm_C,T_r0.8cm_C,T_r0.9cm_C,T_r1.0cm_C,T_r1.1cm_C,T_r1.2cm_C,T_r1.3cm_C,T_r1.4cm_C,T_r1.5cm_C,T_r1.6cm_C,T_r1.7cm_C,T_r1.8cm_C,T_r1.9cm_C,T_r2.0cm_C,C_r0.0cm,C_r0.1cm,C_r0.2cm,C_r0.3cm,C_r0.4cm,C_r0.5cm,C_r0.6cm,C_r0.7cm,C_r0.8cm,C_r0.9cm,C_r1.0cm,C_r1.1cm,C_r1.2cm,C_r1.3cm,C_r1.4cm,C_r1.5cm,C_r1.6cm,C_r1.7cm,C_r1.8cm,C_r1.9cm,C_r2.0cm
720,0.019491999999999999,2.5500000000000007,0.0079267606646777154,2.4535862735183596,30.568611883234102,1.3900434478396781,28.185259297492649,28.188431749845073,28.198042094824601,28.214369641779694,28.237881060053084,28.269232127068008,28.309270249804129,28.359037919457233,28.419777395889071,28.49293702412697,28.580179458184869,28.683391318581737,28.804691908401779,28.946435198896072,29.111194859902383,29.301719082757682,29.520851595335429,29.771517299052324,30.057347908727081,30.385689424497663,,2.5500000000000007,2.5499999999999994,2.5499999999999985,2.5499999999999985,2.5500000000000003,2.5499999999999998,2.5499999999999994,2.5499999999999976,2.5499999999999998,2.5499999999999976,2.549999999999998,2.5499999999985552,2.5499999996183731,2.5499999477738631,2.5499962735399548,2.5498599536498996,2.5471866909335272,2.5191169254827801,2.3580797123128074,1.8353406846439262,
780,0.019449666666666667,2.5500000000000016,0.007890596720355832,2.4469198499937694,30.859523330093388,1.3651204895500688,28.250574215320349,28.254354635750747,28.265791860164732,28.285174191389807,28.312983503053538,28.349897241442534,28.396791054524069,28.454741706917027,28.525029612047035,28.609139875246846,28.708760321474053,28.825774868675552,28.962251240488975,29.120423787141881,29.302675061726767,29.5115235485566,29.749640387551921,30.02003965996612,30.327068686328676,30.679937117006791,,2.5500000000000007,2.5499999999999994,2.5499999999999989,2.5499999999999998,2.5500000000000003,2.5499999999999998,2.5499999999999989,2.549999999999998,2.5500000000000012,2.5499999999999989,2.549999999999959,2.5499999999867793,2.5499999977540866,2.549999792123451,2.5499894442911981,2.549702973156474,2.545301099994266,2.5072989673855099,2.3193632290720432,1.7690249108659191,
840,0.019407333333333332,2.5500000000000012,0.007935064243990991,2.4403593814198166,31.133743090946574,1.3422383584047031,28.327543167785841,28.331953007895851,28.345281136244243,28.367823531911853,28.400073942501027,28.442724324673748,28.496665010381275,28.562984193246873,28.642966284466791,28.738088666423778,28.850016272267048,28.98059300581393,29.131827948913145,29.305872364622729,29.504981136503844,29.73145256160662,29.987565709502881,30.27569993208742,30.599327587224952,30.966658901771993,,2.5500000000000007,2.5499999999999989,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000012,2.5500000000000003,2.549999999999998,2.5500000000000012,2.5499999999999985,2.5499999999995664,2.5499999999107867,2.5499999896356482,2.549999314680707,2.5499740288248454,2.549430299958829,2.5426632501909427,2.4933483396419804,2.2789372193049413,1.7048988694161775,
900,0.019365,2.5500000000000007,0,2.4338963179417834,31.403611571407783,1.3210541830828813,28.416518629286863,28.421572001009288,28.436831558178515,28.462595452138306,28.499359952089254,28.54781822653651,28.608858120472402,28.683558343107716,28.773182222691208,28.879167893788061,29.003113531390987,29.146756190314488,29.311943177053433,29.500595900529021,29.714668006647734,29.956104797883075,30.226846416642708,30.529102179151401,30.866593290881429,31.248533590361006,,2.5500000000000007,2.5499999999999994,2.5499999999999989,2.549999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999994,2.549999999999998,2.5500000000000003,2.5499999999999865,2.5499999999966803,2.549999999528735,2.5499999606570487,2.5499980583054693,2.5499429547500432,2.5489925006750189,2.5391531465228971,2.4773274248235473,2.237207961363826,1.6429387145640435,
960,0.019322666666666669,2.5500000000000012,0.0078783355380818675,2.427521976093852,31.702988937062077,1.3015436937489977,28.517658459556646,28.523357412382165,28.540552421321038,28.569537313780668,28.610799636826691,28.665017116220397,28.733052137170564,28.815943755704033,28.91489675038941,29.031267410524961,29.166546275962489,29.322339106030796,29.500349165544502,29.702366456172538,29.930272435234713,30.186075066962083,30.472032495693078,30.791122713658634,31.148552019271335,31.556173065373596,,2.5500000000000007,2.5499999999999985,2.5499999999999994,2.5499999999999985,2.5500000000000007,2.5500000000000012,2.5499999999999998,2.5499999999999994,2.5500000000000007,2.549999999999883,2.5499999999801464,2.5499999979612196,2.5499998726658695,2.5499951394465352,2.549885816234184,2.5483330506307742,2.5346678481091249,2.4593311409060301,2.1945057818440183,1.5830588501276517,
1020,0.019280333333333333,2.5500000000000007,0,2.4212287875111476,31.976783862678875,1.2834179176923153,28.630867196625804,28.637198727422994,28.65628775479356,28.688416657643465,28.734052978330148,28.793844802874716,28.868614398310125,28.959350376134651,29.067198901278555,29.19345468911305,29.33955246008561,29.507058675550407,29.697661179021612,29.913150583015089,30.155383322730327,30.426222089478749,30.727513367781796,31.061398422826848,31.431683907370203,31.848258385010908,,2.5500000000000007,2.5499999999999989,2.5499999999999985,2.5499999999999994,2.5500000000000003,2.5500000000000003,2.5499999999999985,2.5499999999999989,2.549999999999998,2.5499999999992164,2.5499999999030307,2.5499999925226771,2.5499996388290711,2.5499890189798031,2.5497883861239949,2.5473902461284466,2.5291217252238698,2.4394697294202068,2.1510989333447537,1.5252732109899771,
1080,0.019238000000000002,2.5500000000000012,0,2.4150114211562732,32.300953921694138,1.266728677902917,28.755786157896321,28.762727058969812,28.783640053963818,28.81879521101671,28.868639962827551,28.933795100998854,29.015049133074793,29.113350821296176,29.229799516538439,29.365632762061399,29.522210935126949,29.701000089748057,29.903557482657273,30.131529901467548,30.386682603697523,30.670992602691612,30.986909076837353,31.338096157059304,31.731327321738686,32.181685018897063,,2.5500000000000007,2.5499999999999985,2.5499999999999989,2.5499999999999985,2.5499999999999994,2.5500000000000003,2.5499999999999989,2.5499999999999985,2.5499999999999727,2.5499999999957081,2.5499999996000806,2.5499999761157834,2.5499990827062291,2.5499772341887739,2.5496323487593586,2.5460995790683438,2.5224497519795359,2.4178767573068045,2.1072394874371732,1.4694894996649759,
1140,0.019195666666666666,2.5500000000000007,0,2.4088626636691619,32.60926760569437,1.2512739444378624,28.8919819331505,28.899510143959798,28.922181132149085,28.960253113608772,29.014153639313399,29.084475513732741,29.171971451243301,29.277548083543202,29.402260396975446,29.547308173429098,29.714036174483414,29.903938973398031,30.11866865785742,30.360038767445879,30.630013501012286,30.930684590283668,31.264330783231895,31.633904590642697,32.044672780825863,32.509415781550707,,2.5500000000000007,2.5499999999999994,2.5499999999999985,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5500000000000003,2.549999999999998,2.5499999999998231,2.5499999999802387,2.5499999985702835,2.5499999321210129,2.5499978781287278,2.5499561133159179,2.5493952608502526,2.5443955670858176,2.5146025294487027,2.3946750013044786,2.0630967190286142,1.4157989680404588,
1200,0.019153333333333335,2.5500000000000007,0,2.4027776883303948,32.919514786312995,1.236837818940026,29.039042786700403,29.047137213049261,29.071503719355306,29.112391521683687,29.170214492241787,29.245549129429534,29.339132029536536,29.451856952793946,29.584771284028076,29.739071211615819,29.916094410292942,30.117308713672994,30.344295661159176,30.598729519779564,30.882357988363982,31.197016977109971,31.544814733821664,31.928844964037665,32.355116616282125,32.838268044722675,,2.5500000000000007,2.5499999999999985,2.5499999999999994,2.5499999999999985,2.5499999999999998,2.5500000000000007,2.5499999999999994,2.5499999999999918,2.5499999999990881,2.5499999999213956,2.5499999954750718,2.549999825384055,2.5499954677952719,2.5499204890959821,2.5490506814714644,2.5422136582562707,2.5055493953952239,2.3700071264674811,2.018879360806991,1.3640465090360354,
1260,0.019111,2.5500000000000012,0,2.3967518358486997,33.204840499326522,1.2232165431643811,29.196652753739361,29.205302235300429,29.231332373623825,29.274987827143921,29.336674923331575,29.416959401448867,29.516563038867311,29.636358934280423,29.777365140729895,29.940736210844147,30.127751906166374,30.339801582259387,30.578361324706066,30.844959150485391,31.141126109862611,31.468361221849616,31.828254417886217,32.223133432222809,32.657928446908379,33.14599149245899,,2.5500000000000007,2.5499999999999994,2.5499999999999998,2.5499999999999985,2.5500000000000007,2.5500000000000016,2.5499999999999985,2.5499999999999607,2.5499999999959808,2.5499999997242884,2.5499999871032228,2.5499995876992281,2.5499909612895526,2.5498634477611106,2.5485686328579393,2.539492583614507,2.4952776604642035,2.3440169701592182,1.9747562927743267,1.314127949227373,
