time_s,radius_cm,temperature_degC,C_kgkg_dry,D_m2_s,H_log,M_log,D_over_D0,T_rate_K_s,C_rate_kgkg_s,H_rate_s-1,M_rate_s-1,lnD_rate_s-1,lnD_rate_step_error_s-1,net_sign_certified,rate_interpretable
55,0,28.000000008424355,2.5499999999999998,5.6416803750432909e-09,3.5762857519133773e-10,0,1.0000000003576286,2.3442489431128406e-09,0,9.9517331776471636e-11,0,9.9517331776471636e-11,5.9647364388827025e-12,0,1
56,0,28.000000011076807,2.5499999999999998,5.6416803756785425e-09,4.7022954106912263e-10,0,1.0000000004702283,2.9823201685985623e-09,0,1.26604534279008e-10,0,1.26604534279008e-10,6.8119353682612345e-12,1,1
57,0,28.000000014436733,2.5499999999999998,5.6416803764832502e-09,6.1286455511205817e-10,0,1.0000000006128646,3.7631187055353621e-09,0,1.5975075250360442e-10,0,1.5975075250360442e-10,7.7101160465870778e-12,1,1
58,0,28.000000018659119,2.5499999999999998,5.6416803774945034e-09,7.9211212242191742e-10,0,1.0000000007921113,4.7116299010478234e-09,0,2.0001665668494642e-10,0,2.0001665668494642e-10,8.6547086671247515e-12,1,1
59,0,28.000000023925423,2.5499999999999998,5.6416803787557669e-09,1.0156744369160808e-09,0,1.0000000010156731,5.8553680422808903e-09,0,2.4857027483747926e-10,0,2.4857027483747926e-10,9.6153735340259934e-12,1,1
60,0,28.000000030446774,2.5499999999999998,5.6416803803176286e-09,1.2925159640492234e-09,0,1.0000000012925163,7.226544992041298e-09,0,3.0677905500532604e-10,0,3.0677905500532604e-10,2.4871836622513731e-11,1,1
61,0,28.000000038467334,2.5499999999999998,5.6416803822385364e-09,1.6330020235350018e-09,0,1.0000000016330015,8.8597061539038154e-09,0,3.7610950798314434e-10,0,3.7610950798314434e-10,2.5214873761841588e-11,1,1
62,0,28.00000004826785,2.5499999999999998,5.6416803845857532e-09,2.0490523991098519e-09,0,1.0000000020490507,1.079383723142276e-08,0,4.5821664280677444e-10,0,4.5821664280677444e-10,2.5506403800012456e-11,1,1
63,0,28.000000060169423,2.5499999999999998,5.6416803874361779e-09,2.5542949482967869e-09,0,1.0000000025542946,1.3069871407367374e-08,0,5.5483814229588539e-10,0,5.5483814229588539e-10,2.5690224147195514e-11,1,1
64,0,28.000000074537439,2.5499999999999998,5.6416803908772881e-09,3.1642392482253423e-09,0,1.0000000031642389,1.5734752167873012e-08,0,6.6796683680870877e-10,0,6.6796683680870877e-10,2.579447505972973e-11,1,1
65,0,28.000000091785591,2.5499999999999998,5.6416803950082066e-09,3.8964535807942124e-09,0,1.0000000038964529,1.883890554665868e-08,0,7.9974339673373003e-10,0,7.9974339673373003e-10,2.5820242432224455e-11,1,1
66,0,28.000000112380164,2.5499999999999998,5.6416803999405861e-09,4.7707285604631222e-09,0,1.0000000047707278,2.2437065242778921e-08,0,9.5249136013236518e-10,0,9.5249136013236518e-10,2.5768275330851228e-11,1,1
67,0,28.000000136844353,2.5499999999999998,5.6416804057997264e-09,5.809274155471611e-09,0,1.0000000058092731,2.6588356997573708e-08,0,1.1287207146816953e-09,0,1.1287207146816953e-09,2.5640815926945975e-11,1,1
68,0,28.000000165762753,2.5499999999999998,5.641680412725651e-09,7.0369083607010885e-09,0,1.0000000070369082,3.1356506428418619e-08,0,1.3311367205667607e-09,0,1.3311367205667607e-09,2.5440868026293721e-11,1,1
69,0,28.000000199786019,2.5499999999999998,5.641680420874194e-09,8.4812558885649647e-09,0,1.000000008481255,3.68098277784649e-08,0,1.5626394328857178e-09,0,1.5626394328857178e-09,2.5169527578085272e-11,1,1
70,0,28.000000239635416,2.5499999999999998,5.6416804304180798e-09,1.0172930163185323e-08,0,1.0000000101729294,4.3021370170019197e-08,0,1.8263299103503017e-09,0,1.8263299103503017e-09,4.2454358918019198e-12,1,1
71,0,28.000000286107721,2.5499999999999998,5.6416804415481299e-09,1.2145757056353235e-08,0,1.0000000121457546,5.0068988362757708e-08,0,2.1255132190882219e-09,0,2.1255132190882219e-09,4.2802146834153727e-12,1,1
72,0,28.000000340079925,2.5499999999999998,5.6416804544744193e-09,1.4436966899733505e-08,0,1.0000000144369674,5.8035389827182371e-08,0,2.4637004309867915e-09,0,2.4637004309867915e-09,4.3016686423822411e-12,1,1
73,0,28.000000402514235,2.5499999999999998,5.6416804694273649e-09,1.7087409872468262e-08,0,1.000000017087409,6.7008181522017665e-08,0,2.8446106094674803e-09,0,2.8446106094674803e-09,4.3102024655396361e-12,1,1
74,0,28.000000474462855,2.5499999999999998,5.6416804866589788e-09,2.0141751352724391e-08,0,1.0000000201417498,7.7079850354285398e-08,0,3.2721699799770166e-09,0,3.2721699799770166e-09,4.3057734209058579e-12,1,1
75,0,28.00000055707298,2.5499999999999998,5.6416805064440174e-09,2.3648690644639814e-08,0,1.0000000236486906,8.8347831272983512e-08,0,3.7505148206720086e-09,0,3.7505148206720086e-09,4.2882256624749375e-12,1,1
76,0,28.000000651591677,2.5499999999999998,5.6416805290811334e-09,2.7661168017570348e-08,0,1.000000027661168,1.0091447085377089e-07,0,4.2839899165187552e-09,0,4.2839899165187552e-09,4.2580418100871773e-12,1,1
77,0,28.000000759370835,2.5499999999999998,5.6416805548941267e-09,3.2236576754350599e-08,0,1.0000000322365767,1.1488705127978467e-07,0,4.8771495773094913e-09,0,4.8771495773094913e-09,4.2171322339654882e-12,1,1
78,0,28.000000881872044,2.5499999999999998,5.6416805842330228e-09,3.7436960172512745e-08,0,1.0000000374369593,1.303776135941348e-07,0,5.5347501344202808e-09,0,5.5347501344202808e-09,4.1634558543314712e-12,1,1
79,0,28.000001020671302,2.5499999999999998,5.6416806174752857e-09,4.3329222002876089e-08,0,1.000000043329222,1.4750310365722422e-07,0,6.2617561369324696e-09,0,6.2617561369324696e-09,4.0985434810156169e-12,1,1
80,0,28.000001177464053,2.5499999999999998,5.6416806550269851e-09,4.9985341777150638e-08,0,1.0000000499853416,1.6638523270273708e-07,0,7.063334431982902e-09,0,7.063334431982902e-09,4.0247604540070335e-12,1,1
81,0,28.000001354069667,2.5499999999999998,5.6416806973238301e-09,5.7482548473757056e-08,0,1.0000000574825485,1.8715028874775419e-07,0,7.9448461587864191e-09,0,7.9448461587864191e-09,3.9404553085221858e-12,1,1
82,0,28.000001552436171,2.5499999999999998,5.6416807448323878e-09,6.5903540914444281e-08,0,1.0000000659035426,2.0992921534457307e-07,0,8.9118500917630637e-09,0,8.9118500917630637e-09,3.8463469470643533e-12,1,1
83,0,28.000001774644776,2.5499999999999998,5.6416807980510948e-09,7.5336671428137547e-08,0,1.0000000753366731,2.3485744637952166e-07,0,9.9700956274448071e-09,0,9.9700956274448071e-09,3.7438857428413468e-12,1,1
84,0,28.000002022914341,2.5499999999999998,5.6416808575113792e-09,8.5876132854129095e-08,0,1.0000000858761366,2.6207480511667808e-07,0,1.1125518498683979e-08,0,1.1125518498683979e-08,3.6337855710686657e-12,1,1
85,0,28.000002299605672,2.5499999999999998,5.6416809237786519e-09,9.762214888461157e-08,0,1.0000000976221535,2.9172532152917557e-07,0,1.2384233020028053e-08,0,1.2384233020028053e-08,3.5154632661355161e-12,1,1
