time_s,C_surface,b_equivalent,driving_gap,effective_flux_m_s,elasticity_to_b_at_fixed_state
0,2.5499999999999998,0.019630000000000002,2.53037,2.0242959999999997e-06,-0.0077577587467445482
1,2.5198051473499201,0.019636500000000001,2.5001686473499203,2.000134917879936e-06,-0.0078540701727517117
2,2.5074236360990052,0.019643000000000001,2.4877806360990053,1.9902245088792041e-06,-0.0078957926253503796
3,2.4979723941548602,0.0196495,2.4783228941548603,1.9826583153238882e-06,-0.0079285471825900761
4,2.4900378472274549,0.019656,2.470381847227455,1.9763054777819638e-06,-0.0079566646840690692
5,2.4830724754130458,0.019662500000000003,2.4634099754130458,1.9707279803304368e-06,-0.0079818220256671416
6,2.4767954876257883,0.019669000000000002,2.4571264876257883,1.9657011901006304e-06,-0.0080048789100007952
7,2.471040087534377,0.019675500000000002,2.451364587534377,1.9610916700275017e-06,-0.0080263458565296257
8,2.4656976022861676,0.019682000000000002,2.4460156022861677,1.9568124818289339e-06,-0.0080465553783075731
9,2.4606925503710873,0.019688500000000001,2.4410040503710873,1.9528032402968699e-06,-0.008065738357544679
10,2.4559699762776392,0.019695000000000001,2.4362749762776392,1.9490199810221112e-06,-0.0080840628384616087
11,2.4514883946045249,0.0197015,2.4317868946045249,1.94542951568362e-06,-0.0081016556359080148
12,2.4472155765383317,0.019708,2.4275075765383316,1.9420060612306654e-06,-0.0081186152374873137
13,2.4431258931660946,0.019714500000000003,2.4234113931660946,1.9387291145328757e-06,-0.0081350199374295093
14,2.4391985654131183,0.019721000000000002,2.4194775654131182,1.9355820523304943e-06,-0.0081509331939735117
15,2.4354164689779378,0.019727500000000002,2.4156889689779377,1.9325511751823501e-06,-0.0081664072872537803
16,2.4317652931603964,0.019734000000000002,2.4120312931603962,1.929625034528317e-06,-0.0081814858936358429
17,2.4282329332926973,0.019740500000000001,2.4084924332926971,1.9267939466341577e-06,-0.0081962059448998873
18,2.4248090421987096,0.019747000000000001,2.4050620421987094,1.9240496337589674e-06,-0.0082105990005760018
19,2.4214846924337898,0.0197535,2.4017311924337896,1.9213849539470314e-06,-0.0082246922812302028
20,2.4182521177140104,0.01976,2.3984921177140102,1.9187936941712082e-06,-0.0082385094593653077
21,2.4151045118848109,0.019766499999999999,2.3953380118848111,1.9162704095078487e-06,-0.0082520712742526064
22,2.4120358705580429,0.019773000000000002,2.3922628705580431,1.9138102964464345e-06,-0.0082653960161943058
23,2.4090408648021344,0.019779500000000002,2.3892613648021346,1.9114090918417077e-06,-0.0082784999127284813
24,2.4061147393524012,0.019786000000000002,2.3863287393524013,1.9090629914819208e-06,-0.0082913974398051704
25,2.4032532296965452,0.019792500000000001,2.3834607296965453,1.9067685837572362e-06,-0.0083041015752417791
26,2.4004524939977854,0.019799000000000001,2.3806534939977855,1.9045227951982283e-06,-0.0083166240067771985
27,2.3977090566553891,0.0198055,2.3779035566553892,1.9023228453243113e-06,-0.008328975304556582
28,2.39501976123903,0.019812,2.3752077612390301,1.9001662089912241e-06,-0.008341165064931013
29,2.3923817309106572,0.019818499999999999,2.3725632309106572,1.8980505847285256e-06,-0.0083532020313714025
30,2.389792334914254,0.019825000000000002,2.369967334914254,1.8959738679314033e-06,-0.0083650941968435501
31,2.3872491601074817,0.019831500000000002,2.3674176601074817,1.8939341280859852e-06,-0.0083768488907443751
32,2.3847499865678912,0.019838000000000001,2.3649119865678911,1.8919295892543129e-06,-0.0083884728533978777
33,2.3822927665842197,0.019844500000000001,2.3624482665842197,1.8899586132673757e-06,-0.0083999723002156825
34,2.3798756065381368,0.019851000000000001,2.3600246065381367,1.8880196852305093e-06,-0.0084113529770009285
35,2.3774967511477669,0.0198575,2.3576392511477668,1.8861114009182135e-06,-0.0084226202080461606
36,2.3751545696984544,0.019864,2.3552905696984543,1.8842324557587634e-06,-0.0084337789381728687
37,2.3728475440310777,0.019870499999999999,2.3529770440310775,1.882381635224862e-06,-0.0084448337693759298
38,2.3705742579595905,0.019876999999999999,2.3506972579595904,1.8805578063676723e-06,-0.0084557889931148652
39,2.3683333879179087,0.019883500000000002,2.3484498879179085,1.8787599103343268e-06,-0.0084666486188591135
40,2.3661236947067601,0.019890000000000001,2.3462336947067599,1.8769869557654078e-06,-0.0084774163992585236
41,2.3639440161489316,0.019896500000000001,2.3440475161489314,1.875238012919145e-06,-0.0084880958525483472
42,2.3617932605603058,0.019903000000000001,2.341890260560306,1.8735122084482447e-06,-0.0084986902824550504
43,2.3596704008968667,0.0199095,2.3397609008968669,1.8718087207174935e-06,-0.0085092027960499625
44,2.3575744695158769,0.019916,2.3376584695158771,1.8701267756127016e-06,-0.0085196363197249051
45,2.3555045534851504,0.019922499999999999,2.3355820534851506,1.8684656427881204e-06,-0.0085299936134856352
46,2.3534597903548282,0.019928999999999999,2.3335307903548284,1.8668246322838626e-06,-0.0085402772838363387
47,2.3514393643162932,0.019935499999999998,2.3315038643162933,1.8652030914530346e-06,-0.0085504897954977333
48,2.3494425027595445,0.019942000000000001,2.3295005027595446,1.8636004022076355e-06,-0.0085606334818887353
49,2.347468473130256,0.019948500000000001,2.327519973130256,1.8620159785042047e-06,-0.0085707105547074992
50,2.3455165800862177,0.019955000000000001,2.3255615800862177,1.8604492640689741e-06,-0.0085807231125912351
51,2.3435861629112336,0.0199615,2.3236246629112336,1.8588997303289867e-06,-0.0085906731489889358
52,2.3416765931338834,0.019968,2.3217085931338834,1.8573668745071067e-06,-0.0086005625594238935
53,2.3397872723700783,0.019974499999999999,2.3198127723700783,1.8558502178960626e-06,-0.0086103931480611233
54,2.3379176303516824,0.019980999999999999,2.3179366303516824,1.8543493042813459e-06,-0.0086201666337049256
55,2.3360671231105452,0.019987499999999998,2.3160796231105452,1.8528636984884359e-06,-0.0086298846553281936
56,2.3342352313131634,0.019994000000000001,2.3142412313131633,1.8513929850505306e-06,-0.0086395487771406022
57,2.3324214587153245,0.020000500000000001,2.3124209587153244,1.8499367669722594e-06,-0.0086491604933002196
58,2.3306253307576199,0.020007,2.3106183307576198,1.8484946646060958e-06,-0.0086587212321820282
59,2.3288463932641936,0.0200135,2.3088328932641935,1.8470663146113548e-06,-0.0086682323603356204
60,2.3270842112312486,0.02002,2.3070642112312485,1.8456513689849987e-06,-0.0086776951861758551
61,2.3253384030297126,0.020028500000000001,2.3053099030297126,1.84424792242377e-06,-0.0086879859292140725
62,2.3236085833399351,0.020036999999999999,2.3035715833399353,1.8428572666719482e-06,-0.0086982319737372634
63,2.3218943621586408,0.020045500000000001,2.3018488621586406,1.8414790897269124e-06,-0.0087084344804470009
64,2.3201953680747001,0.020053999999999999,2.3001413680747,1.84011309445976e-06,-0.0087185945517713592
65,2.3185112449543421,0.0200625,2.2984487449543423,1.8387589959634738e-06,-0.0087287132436788505
66,2.3168416506987084,0.020070999999999999,2.2967706506987082,1.8374165205589665e-06,-0.0087387915697608436
67,2.3151862563477899,0.0200795,2.2951067563477898,1.8360854050782317e-06,-0.0087488305040557546
68,2.3135447453178242,0.020087999999999998,2.2934567453178243,1.8347653962542594e-06,-0.0087588309834098176
69,2.3119168127250203,0.0200965,2.2918203127250201,1.8334562501800159e-06,-0.0087687939095473233
70,2.3103021647713855,0.020104999999999998,2.2901971647713855,1.8321577318171082e-06,-0.0087787201509381581
71,2.308700518173,0.020113499999999999,2.2885870181730001,1.8308696145384e-06,-0.0087886105445344996
72,2.3071115996331901,0.020122000000000001,2.2869895996331899,1.8295916797065519e-06,-0.0087984658973645387
73,2.3055351453518762,0.020130499999999999,2.2854046453518762,1.8283237162815008e-06,-0.0088082869880141395
74,2.3039709005638875,0.020139000000000001,2.2838319005638876,1.82706552045111e-06,-0.008818074568022102
75,2.3024186191082037,0.020147499999999999,2.2822711191082035,1.8258168952865626e-06,-0.008827829363179527
76,2.3008780630251002,0.020156,2.2807220630251002,1.82457765042008e-06,-0.008837552074743172
77,2.2993490021781984,0.020164499999999998,2.2791845021781985,1.8233476017425586e-06,-0.0088472433805727203
78,2.2978312138964907,0.020173,2.2776582138964905,1.8221265711171923e-06,-0.0088569039362096195
79,2.2963244826367766,0.020181499999999998,2.2761429826367765,1.8209143861094211e-06,-0.0088665343758944914
80,2.2948285996685711,0.02019,2.2746385996685712,1.8197108797348569e-06,-0.0088761353135138939
81,2.2933433627764725,0.020198500000000001,2.2731448627764728,1.8185158902211782e-06,-0.0088857073434946317
82,2.2918685759788517,0.020206999999999999,2.2716615759788517,1.8173292607830813e-06,-0.0088952510416490486
83,2.2904040492623885,0.020215500000000001,2.2701885492623886,1.8161508394099107e-06,-0.00890476696597217
84,2.2889495983264552,0.020223999999999999,2.2687255983264554,1.8149804786611642e-06,-0.008914255657413309
85,2.2875050443462457,0.0202325,2.2672725443462456,1.8138180354769964e-06,-0.0089237176405864878
86,2.2860702137487614,0.020240999999999999,2.2658292137487615,1.812663370999009e-06,-0.00893315342444179
87,2.2846449379992584,0.0202495,2.2643954379992586,1.8115163503994067e-06,-0.0089425635029064341
88,2.2832290533992108,0.020257999999999998,2.2629710533992107,1.8103768427193685e-06,-0.0089519483554906451
89,2.2818224008933865,0.0202665,2.2615559008933865,1.8092447207147092e-06,-0.0089613084478672791
90,2.280424825888089,0.020275000000000001,2.2601498258880892,1.8081198607104713e-06,-0.0089706442324164366
91,2.2790361780747612,0.020283499999999999,2.2587526780747611,1.8070021424598088e-06,-0.0089799561487575348
92,2.2776563112644812,0.020292000000000001,2.2573643112644812,1.8058914490115848e-06,-0.0089892446242464379
93,2.2762850832370289,0.020300499999999999,2.2559845832370291,1.8047876665896232e-06,-0.0089985100744223879
94,2.2749223555889864,0.020309000000000001,2.2546133555889862,1.8036906844711888e-06,-0.0090077529034660389
95,2.2735679935927853,0.020317499999999999,2.2532504935927853,1.8026003948742281e-06,-0.0090169735046208514
96,2.27222186605775,0.020326,2.2518958660577502,1.8015166928462001e-06,-0.0090261722606131984
97,2.2708838452073699,0.020334499999999998,2.2505493452073697,1.8004394761658956e-06,-0.0090353495440138147
