question,latent,axial_only_loss_g,radial_only_loss_g,axial_only_event_s,radial_only_event_s
1,0,4.3335099370267471e-05,0.0001959787682972447,,
1,1,2.5587393454040708e-05,6.2996703464879289e-05,,
23,0,-0.0012980173756744762,-0.002550469189316118,0.13606402548612095,21.688961774314521
23,1,-1.801460686223777e-05,-2.4601403804780375e-05,0.46835808723699301,17.950488493544981
