question,group,case,time_s,r_m,T,C
1,F00,q1_F00_r96_z0_v2,300,0.02,28.758648149950066,2.4628507419565269
1,F00,q1_F00_r96_z0_v2,600,0,28.253929058764058,2.5499999999999998
1,F00,q1_F00_r96_z0_v2,600,0.0050000000000000001,28.324648753265954,2.5499999999342102
1,F00,q1_F00_r96_z0_v2,600,0.01,28.565354831219711,2.5499975731358528
1,F00,q1_F00_r96_z0_v2,600,0.014999999999999999,29.060706532774006,2.5471615953661555
1,F00,q1_F00_r96_z0_v2,600,0.02,29.94604439289558,2.4424386021646325
1,F00,q1_F00_r96_z0_v2,900,0,28.855793007691634,2.549999999982095
1,F00,q1_F00_r96_z0_v2,900,0.0050000000000000001,28.984333225095238,2.5499999536555014
1,F00,q1_F00_r96_z0_v2,900,0.01,29.395555126929175,2.5499372312380619
1,F00,q1_F00_r96_z0_v2,900,0.014999999999999999,30.159041269921389,2.5416027019124483
1,F00,q1_F00_r96_z0_v2,900,0.02,31.361596506245398,2.4245728003025024
1,F00,q1_F00_r96_z0_v2,1200,0,29.781346171290846,2.5499999952141268
1,F00,q1_F00_r96_z0_v2,1200,0.0050000000000000001,29.953966280689709,2.5499985459614845
1,F00,q1_F00_r96_z0_v2,1200,0.01,30.491149333341856,2.5496517976242785
1,F00,q1_F00_r96_z0_v2,1200,0.014999999999999999,31.448600877632394,2.5346960326449399
1,F00,q1_F00_r96_z0_v2,1200,0.02,32.903832426088158,2.3997695648770341
1,F00,q1_F00_r96_z0_v2,1500,0,30.949753349853957,2.549999849561293
1,F00,q1_F00_r96_z0_v2,1500,0.0050000000000000001,31.156698537580727,2.5499876994802526
1,F00,q1_F00_r96_z0_v2,1500,0.01,31.791263687105921,2.5489830011981316
1,F00,q1_F00_r96_z0_v2,1500,0.014999999999999999,32.887343984281458,2.5270162917844883
1,F00,q1_F00_r96_z0_v2,1500,0.02,34.456723586792414,2.3627340479805716
1,F00,q1_F00_r96_z0_v2,1800,0,32.286439546059931,2.5499984408004046
1,F00,q1_F00_r96_z0_v2,1800,0.0050000000000000001,32.51086153891999,2.5499470041949031
1,F00,q1_F00_r96_z0_v2,1800,0.01,33.189855680225868,2.5478572573189036
1,F00,q1_F00_r96_z0_v2,1800,0.014999999999999999,34.343834206848882,2.5183370956855229
1,F00,q1_F00_r96_z0_v2,1800,0.02,36.003189626689419,2.3127308224428256
1,F10,q1_F10_r96_z128_v2,100,0,28.000005556603149,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,100,0.0050000000000000001,28.00007395001218,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,100,0.01,28.001653075006235,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,100,0.014999999999999999,28.021251433797016,2.549999985844845
1,F10,q1_F10_r96_z128_v2,100,0.02,28.159524516967608,2.491708162866793
1,F10,q1_F10_r96_z128_v2,300,0,28.015585163384436,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,300,0.0050000000000000001,28.029732314582628,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,300,0.01,28.093622172607681,2.5499999996696383
1,F10,q1_F10_r96_z128_v2,300,0.014999999999999999,28.280913203128222,2.5498371594007434
1,F10,q1_F10_r96_z128_v2,300,0.02,28.758640310971138,2.4628508361167682
1,F10,q1_F10_r96_z128_v2,600,0,28.253928549756413,2.5499999999999998
1,F10,q1_F10_r96_z128_v2,600,0.0050000000000000001,28.32464820358306,2.5499999999342076
1,F10,q1_F10_r96_z128_v2,600,0.01,28.565354222317641,2.5499975731306388
1,F10,q1_F10_r96_z128_v2,600,0.014999999999999999,29.060705923083486,2.5471615959486491
1,F10,q1_F10_r96_z128_v2,600,0.02,29.946046413557291,2.4424385649640996
1,F10,q1_F10_r96_z128_v2,900,0,28.855792548263352,2.5499999999820955
1,F10,q1_F10_r96_z128_v2,900,0.0050000000000000001,28.984332794797151,2.5499999536554459
1,F10,q1_F10_r96_z128_v2,900,0.01,29.39555474664644,2.5499372312401349
1,F10,q1_F10_r96_z128_v2,900,0.014999999999999999,30.159041138520649,2.5416027054016674
1,F10,q1_F10_r96_z128_v2,900,0.02,31.361599523907138,2.4245726577517348
1,F10,q1_F10_r96_z128_v2,1200,0,29.781345899447807,2.5499999952141539
1,F10,q1_F10_r96_z128_v2,1200,0.0050000000000000001,29.953966028549694,2.5499985459619059
1,F10,q1_F10_r96_z128_v2,1200,0.01,30.491149051032963,2.5496517977144566
1,F10,q1_F10_r96_z128_v2,1200,0.014999999999999999,31.448600773622228,2.5346960381608645
1,F10,q1_F10_r96_z128_v2,1200,0.02,32.903834094963265,2.3997697224056105
1,F10,q1_F10_r96_z128_v2,1500,0,30.94975315266506,2.5499998495614822
1,F10,q1_F10_r96_z128_v2,1500,0.0050000000000000001,31.156698339763381,2.5499876994828385
1,F10,q1_F10_r96_z128_v2,1500,0.01,31.791263527595394,2.5489830015485184
1,F10,q1_F10_r96_z128_v2,1500,0.014999999999999999,32.887343888312436,2.5270162980400479
1,F10,q1_F10_r96_z128_v2,1500,0.02,34.456715454817278,2.3627341603114562
1,F10,q1_F10_r96_z128_v2,1800,0,32.286439512015463,2.5499984408011129
1,F10,q1_F10_r96_z128_v2,1800,0.0050000000000000001,32.510861598998936,2.5499470042098222
1,F10,q1_F10_r96_z128_v2,1800,0.01,33.189855970772228,2.5478572580424568
1,F10,q1_F10_r96_z128_v2,1800,0.014999999999999999,34.343834503845954,2.5183371021610959
1,F10,q1_F10_r96_z128_v2,1800,0.02,36.003190086040476,2.3127307938087371
1,F01,q1_F01_r96_z0_v2,100,0,27.999547946340979,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,100,0.0050000000000000001,27.99594992495706,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,100,0.01,27.94750540478255,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,100,0.014999999999999999,27.659329263227814,2.5499999882434872
1,F01,q1_F01_r96_z0_v2,100,0.02,26.973287894620764,2.5146100587224924
1,F01,q1_F01_r96_z0_v2,300,0,27.87540044259989,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,300,0.0050000000000000001,27.821978105890366,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,300,0.01,27.666758512246844,2.549999999743418
1,F01,q1_F01_r96_z0_v2,300,0.014999999999999999,27.484216649797499,2.5498889323194134
1,F01,q1_F01_r96_z0_v2,300,0.02,27.540139942584588,2.508881539236711
1,F01,q1_F01_r96_z0_v2,600,0,27.697138594769864,2.5499999999999998
1,F01,q1_F01_r96_z0_v2,600,0.0050000000000000001,27.712844167547111,2.5499999999522336
1,F01,q1_F01_r96_z0_v2,600,0.01,27.805724653603498,2.5499983900285397
1,F01,q1_F01_r96_z0_v2,600,0.014999999999999999,28.113824574750343,2.5484084352264711
1,F01,q1_F01_r96_z0_v2,600,0.02,28.858789096349621,2.5088502833878441
1,F01,q1_F01_r96_z0_v2,900,0,28.051976385638788,2.5499999999874556
