case,baseline,mass_relative,energy_relative,mass_posthoc_relative,energy_posthoc_relative,mass_absolute_kg,energy_absolute_J,elapsed_s,run_complete
q23_F00_r192,False,6.9695060766466005e-09,2.709376630861953e-07,6.4348752656289206e-07,-0.00011176930302705307,1.460172316392061e-09,0.0059382468134572264,18.973265647888184,True
q23_sensitivity_eq0.050_2D,False,2.0367093581150334e-08,-1.7015021122478798e-08,7.379733437772505e-06,1.7368400515951139e-06,4.2755740146255272e-09,-0.0088601528449316902,92.547472238540649,True
q23_F00_r96_z0_v2,False,-3.0913406184094667e-08,2.8011708363924402e-07,6.0516154661827137e-07,-0.00011176048952892438,-6.4766410845518152e-09,0.0061394353178911842,22.125248432159424,True
q1_F10_r96_z128_v2,False,-5.3117254989019042e-08,-2.5074108614601692e-08,-4.9766191552989584e-08,-2.4783286951559122e-08,-2.3263664139603485e-10,-0.00013925810160131391,104.07347130775452,True
q23_B_r512_v2,True,-4.5597024760090129e-09,,7.2586883431102685e-08,,-9.5575047875939845e-10,,33.205430269241333,True
q1_F00_r48_z0_v2,False,1.64842324766854e-07,-1.5042512531461285e-08,1.6505450861338757e-07,-1.7200104752969447e-08,6.1928170664443671e-10,-8.0204022786745099e-05,2.7217910289764404,True
q23_F01_r48_z0_v2,False,-8.9046432294481949e-10,2.7720944769185684e-09,6.7227266189080818e-06,1.5370717025453403e-06,-1.8655696432112734e-10,0.0014410041203518631,21.475945234298706,True
q23_F01_r192,False,8.8614832956010968e-10,-1.2858639811915795e-08,6.7235400544218037e-06,1.5205578491256033e-06,1.8565096682188198e-10,-0.0066841821662819711,24.116628170013428,True
q23_F11_r48_z64_v2,False,-3.8724943577461737e-09,4.9089433838889888e-09,7.2105143944617424e-06,1.6222311711273029e-06,-8.1238800062055638e-10,0.0025550627149186766,156.37427258491516,True
q23_sensitivity_eq0.120_paired1D,False,2.7780860252260038e-08,7.3766261366814595e-09,6.5694483429052381e-06,1.348171693041321e-06,5.7935961028654503e-09,0.0038189637725736247,35.708644866943359,True
q1_F11_r48_z64_v2,False,6.5286146710954848e-07,-5.1160343106811129e-08,-3.4440056504579343e-07,-6.5034273318361477e-07,9.0214620905473657e-10,-0.00038793846214968397,23.117320537567139,True
q23_sensitivity_eq0.050_paired1D,False,-2.7549739795808009e-08,2.3396789618106089e-09,6.8218722179299162e-06,1.6563273383533025e-06,-5.7752569948554822e-09,0.0012166796332166996,18.102575540542603,True
q23_sensitivity_eq0.200_paired1D,False,-2.8744699100711559e-08,-6.5798306087588763e-09,6.367580744920216e-06,1.0741644364480961e-06,-5.8368009869802506e-09,-0.003322145797937992,23.468719244003296,True
q23_F00_r48_z0_v2,False,9.4426506868602162e-09,8.8105942934993927e-08,6.4525825832786028e-07,-0.00011196506347001472,1.9783371607573486e-09,0.0019310525894979946,21.029109477996826,True
q23_sensitivity_eq0.120_2D,False,-8.9004140979116787e-11,-2.3289685772695232e-08,7.0102879024928969e-06,1.3766159106325343e-06,-1.857574684349661e-11,-0.012066269897218262,74.52098560333252,True
q1_F01_r96_z0_v2,False,2.2513354508703766e-07,-1.832586324523648e-08,-9.2802515557512122e-07,-6.5256597481290147e-07,2.7321079079656307e-10,-0.00012943957060862488,2.5733070373535156,True
