time_s,time_h,C_r0cm,C_r0.5cm,C_r1cm,C_r1.5cm,C_r2cm
0.0,0.0,2.55,2.55,2.55,2.55,2.55
10800.0,3.0,1.7661771779061897,1.7165329553229431,1.5701975286851093,1.333262309286984,1.0081211456706962
14400.0,4.0,1.4536060823422892,1.4133156101377269,1.2935229722470776,1.0959559703784207,0.8153446274440473
21600.0,6.0,1.0169684421677077,0.9881384970303171,0.9015270599267386,0.7550075930003273,0.5327784344286319
43200.0,12.0,0.4561498833843858,0.4431651325442711,0.4030771804535638,0.3297393381452966,0.16417863020421603
64800.0,18.0,0.2988433187894579,0.29155260095347235,0.2687125095803774,0.22530236506540674,0.08447411360481143
86400.0,24.0,0.23780016412840055,0.23274025562724984,0.21672660966773163,0.1855502316752796,0.06646528874763087
108000.0,30.0,0.20582454477162127,0.20184580790845955,0.18916797460423246,0.1640921520157653,0.05982881932340542
129600.0,36.0,0.18587838904478077,0.1825304272989,0.17181172008744694,0.15037519752120515,0.05663512927707843
151200.0,42.0,0.17206666567702064,0.1691330630096508,0.15970776730344,0.14070220425888727,0.05483944671216329
172800.0,48.0,0.16182803100713178,0.15918883895525832,0.15068611233613463,0.13343034950093943,0.05372114992168117
194400.0,54.0,0.15386764460086602,0.151449460112013,0.14364144809438162,0.1277130020019227,0.05297259301444992
206907.40623202722,57.47427950889645,0.15,0.1476866164738606,0.14020873287097474,0.12491417370384002,0.05264587070351458
