r_m,T_degC,C_kgkg
0.0,50.165,0.15
0.00015625,50.165,0.14999777795507024
0.0003125,50.165,0.1499911113815639
0.00046875,50.165,0.14997999902441983
0.000625,50.165,0.14996443878451346
0.00078125,50.165,0.14994442771934116
0.0009375,50.165,0.1499199620401339
0.00109375,50.165,0.1498910371078538
0.00125,50.165,0.14985764742822563
0.00140625,50.165,0.14981978664582318
0.0015625,50.165,0.14977744753720057
0.00171875,50.165,0.14973062200305853
0.001875,50.165,0.14967930105942467
0.00203125,50.165,0.1496234748278293
0.0021875,50.165,0.14956313252445186
0.00234375,50.165,0.14949826244821213
0.0025,50.165,0.14942885196777755
0.00265625,50.165,0.14935488750745382
0.0028125,50.165,0.14927635453192448
0.00296875,50.165,0.14919323752980043
0.003125,50.165,0.14910551999593868
0.00328125,50.165,0.149013184412484
0.0034375,50.165,0.14891621222858606
0.00359375,50.165,0.14881458383873733
0.00375,50.165,0.14870827855967558
0.00390625,50.165,0.1485972746057895
0.0040625,50.165,0.14848154906296057
0.00421875,50.165,0.14836107786076885
0.004375,50.165,0.148235835742987
0.00453125,50.165,0.1481057962362781
0.0046875,50.165,0.14797093161700908
0.00484375,50.165,0.1478312128760831
0.005,50.165,0.14768660968168626
0.00515625,50.165,0.14753709033984058
0.0053125,50.165,0.14738262175263975
0.0054687500000000005,50.165,0.14722316937404162
0.005625,50.165,0.1470586971630766
0.00578125,50.165,0.1468891675343246
0.0059375,50.165,0.1467145413054974
0.00609375,50.165,0.14653477764195444
0.00625,50.165,0.14634983399796392
0.0064062500000000005,50.165,0.14615966605450773
0.0065625,50.165,0.14596422765341208
0.00671875,50.165,0.1457634707275673
0.006875,50.165,0.14555734522698363
0.00703125,50.165,0.14534579904040598
0.0071875,50.165,0.14512877791218945
0.0073437500000000005,50.165,0.1449062253541129
0.0075,50.165,0.14467808255177855
0.00765625,50.165,0.14444428826521855
0.0078125,50.165,0.14420477872329207
0.00796875,50.165,0.1439594875114267
0.008125,50.165,0.14370834545221123
0.00828125,50.165,0.14345128047830724
0.0084375,50.165,0.14318821749709884
0.00859375,50.165,0.14291907824644218
0.00875,50.165,0.14264378114082313
0.008906250000000001,50.165,0.1423622411071594
0.0090625,50.165,0.14207436940941756
0.00921875,50.165,0.14178007346112764
0.009375,50.165,0.14147925662479355
0.00953125,50.165,0.1411718179970939
0.0096875,50.165,0.1408576521786584
0.00984375,50.165,0.14053664902707674
0.01,50.165,0.1402086933916605
0.01015625,50.165,0.13987366482831895
0.0103125,50.165,0.13953143729273337
0.01046875,50.165,0.13918187880981758
0.010625,50.165,0.13882485111722537
0.010781250000000001,50.165,0.13846020928041586
0.010937500000000001,50.165,0.1380878012764974
0.01109375,50.165,0.1377074675437487
0.01125,50.165,0.13731904049334456
0.01140625,50.165,0.13692234397939282
0.0115625,50.165,0.1365171927229078
0.01171875,50.165,0.13610339168479677
0.011875,50.165,0.13568073538230313
0.01203125,50.165,0.13524900714262375
0.0121875,50.165,0.134807978286582
0.01234375,50.165,0.13435740723426967
0.0125,50.165,0.1338970385234467
0.01265625,50.165,0.13342660173018558
0.012812500000000001,50.165,0.13294581027972405
0.012968750000000001,50.165,0.1324543601337067
0.013125,50.165,0.13195192833791258
0.01328125,50.165,0.1314381714120947
0.0134375,50.165,0.13091272356065964
0.01359375,50.165,0.1303751946794527
0.01375,50.165,0.129825168129813
0.01390625,50.165,0.12926219824614277
0.0140625,50.165,0.12868580753733494
0.01421875,50.165,0.12809548353528444
0.014375,50.165,0.12749067523508156
0.01453125,50.165,0.1268707890609804
0.014687500000000001,50.165,0.12623518427937372
0.014843750000000001,50.165,0.1255831677641788
0.015,50.165,0.1249139880004436
0.01515625,50.165,0.1242268281875786
0.0153125,50.165,0.12352079827303024
0.01546875,50.165,0.12279492570860445
0.015625,50.165,0.1220481446725698
0.01578125,50.165,0.12127928343778953
0.0159375,50.165,0.12048704948491508
0.01609375,50.165,0.11967001185382758
0.01625,50.165,0.11882658008728017
0.01640625,50.165,0.1179549789356593
0.0165625,50.165,0.11705321774319011
0.01671875,50.165,0.11611905309795546
0.016875,50.165,0.11514994286274925
0.01703125,50.165,0.11414298905402671
0.0171875,50.165,0.11309486611510203
0.01734375,50.165,0.11200172980198382
0.0175,50.165,0.11085909995089037
0.017656250000000002,50.165,0.10966170747577074
0.017812500000000002,50.165,0.10840329146791912
0.017968750000000002,50.165,0.10707632523333369
0.018125,50.165,0.10567163872130006
0.01828125,50.165,0.10417788577580347
0.0184375,50.165,0.10258077163841532
0.01859375,50.165,0.1008618963217792
0.01875,50.165,0.09899695537374867
0.01890625,50.165,0.09695280807733055
0.0190625,50.165,0.0946824168517271
0.01921875,50.165,0.09211544459603727
0.019375,50.165,0.08913898842505129
0.01953125,50.165,0.08555228419254189
0.0196875,50.165,0.0809351939651795
0.01984375,50.165,0.07408725852401714
0.02,50.165,0.052532816769623
