time_s,time_h,C_r0cm,C_r0.5cm,C_r1cm,C_r1.5cm,C_r2cm
0.0,0.0,2.55,2.55,2.55,2.55,2.55
10800.0,3.0,1.7661771779061897,1.7165329553229431,1.5701975286851093,1.333262309286984,1.0081211456706962
14400.0,4.0,1.4536060823422892,1.4133156101377269,1.2935229722470776,1.0959559703784207,0.8153446274440473
21600.0,6.0,1.0169609788597962,0.98813199184121,0.9015235562008829,0.755009636306773,0.5327910022817545
43200.0,12.0,0.4561454341685759,0.4431611597600331,0.4030746626366432,0.329739517560237,0.16419262834625956
64800.0,18.0,0.29883979881231065,0.29154927734776914,0.26870977933440826,0.22530068823347668,0.08448699162647215
86400.0,24.0,0.2377970965691219,0.23273731278012225,0.21672405002858036,0.18554837425817367,0.0664777155169257
108000.0,30.0,0.20582185170660433,0.2018432105676687,0.18916567463054648,0.16409040983345696,0.05984119333906603
129600.0,36.0,0.18587598805589697,0.18252810534079342,0.1718096454445325,0.15037359472851836,0.056647507035849316
151200.0,42.0,0.17206449124103282,0.16913095653386817,0.15970587469846953,0.14070072538490427,0.054851835768951245
172800.0,48.0,0.16182603543305774,0.1591869034334781,0.15068436668700366,0.13342897563297568,0.053733549532463426
194400.0,54.0,0.153865793352243,0.1514476629865648,0.14363982280110651,0.1277117169056353,0.0529850012321071
206901.2960506359,57.47258223628775,0.15,0.14768661996809843,0.1402087488974341,0.12491422502984804,0.052658427965292
