method,n,dr_m,event_time_s,event_time_h,event_C_surface,event_C_center_slope_per_s,min_D_accepted,elapsed_wall_s
harmonic,128,0.00015625,228638.56955758348,63.51071376599541,0.05242885058480957,-2.3515355621706373e-07,3.0276366244752588e-12,8.564832499999966
harmonic,256,7.8125e-05,208461.0331238703,57.905842534408414,0.052569615600349326,-2.84321432004221e-07,3.0980258292488636e-12,11.568726100000049
harmonic,512,3.90625e-05,206230.80406536462,57.28633446260128,0.05254433899077286,-2.9171324148989147e-07,3.085294851443993e-12,17.141334899999947
kirchhoff,128,0.00015625,205813.71396962728,57.17047610267424,0.052532816769623,-2.930618396036894e-07,3.0795048197034235e-12,8.31196809999983
kirchhoff,256,7.8125e-05,205810.76930660292,57.16965814072303,0.05253472347386711,-2.930665082388721e-07,3.0804623821575294e-12,14.397588799999994
kirchhoff,512,3.90625e-05,205810.0131516332,57.16944809767589,0.05253543865415647,-2.930676998346456e-07,3.0808216103954856e-12,25.45652210000003
