time_s,time_h,C_r0cm,C_r0.5cm,C_r1cm,C_r1.5cm,C_r2cm
0.0,0.0,2.55,2.55,2.55,2.55,2.55
10800.0,3.0,1.7661771779061897,1.7165329553229431,1.5701975286851093,1.333262309286984,1.0081211456706962
14400.0,4.0,1.4536060823422892,1.4133156101377269,1.2935229722470776,1.0959559703784207,0.8153446274440473
21600.0,6.0,1.0155504626105447,0.9868285818241842,0.9005521421013829,0.7546339356928098,0.5334550139120733
43200.0,12.0,0.4547580313938165,0.4418370637790684,0.40193941231665664,0.32892248724016565,0.163951717113884
64800.0,18.0,0.2978915141338787,0.2906378131164987,0.26791014476309755,0.22469801189105137,0.0842283975079186
86400.0,24.0,0.23710008873986568,0.2320647653068287,0.21612664943941515,0.18508701196708177,0.06627314280412178
108000.0,30.0,0.205265565832978,0.2013049927033643,0.18868340444642967,0.1637113050922718,0.05966196705144825
129600.0,36.0,0.18540730923411078,0.18207377358134444,0.17139999177905862,0.15004741633491608,0.05648131241930801
151200.0,42.0,0.17165529570857188,0.16873371264180417,0.15934600845004893,0.14041138766354525,0.054693103005721576
172800.0,48.0,0.16145987362362815,0.1588310326257962,0.1503607878759611,0.1331668017954946,0.05357946220246228
194400.0,54.0,0.15353226415710017,0.1511232088126965,0.14334392219392073,0.12747045193217135,0.05283399716029753
205810.76930660292,57.16965814072303,0.15,0.14768658963492381,0.14020860739804578,0.1249137569452792,0.05253472347386711
