r_m,T_degC,C_kgkg
0.0,50.0,0.15
7.8125e-05,50.0,0.14999944449626523
0.00015625,50.0,0.14999777795764502
0.000234375,50.0,0.14999500030573154
0.0003125,50.0,0.14999111140945506
0.000390625,50.0,0.14998611108523244
0.00046875,50.0,0.14997999909693469
0.000546875,50.0,0.14997277515582752
0.000625,50.0,0.14996443892049557
0.000703125,50.0,0.14995498999675141
0.00078125,50.0,0.1499444279375304
0.000859375,50.0,0.14993275224277083
0.0009375,50.0,0.14991996235927993
0.001015625,50.0,0.14990605768058524
0.00109375,50.0,0.14989103754677152
0.001171875,50.0,0.14987490124430325
0.00125,50.0,0.14985764800583207
0.001328125,50.0,0.14983927700998984
0.00140625,50.0,0.1498197873811663
0.001484375,50.0,0.14979917818927185
0.0015625,50.0,0.14977744844948537
0.001640625,50.0,0.14975459712198602
0.00171875,50.0,0.14973062311167049
0.001796875,50.0,0.1497055252678535
0.001875,50.0,0.14967930238395333
0.001953125,50.0,0.14965195319716054
0.00203125,50.0,0.14962347638809106
0.002109375,50.0,0.1495938705804223
0.0021875,50.0,0.14956313434051285
0.002265625,50.0,0.14953126617700524
0.00234375,50.0,0.14949826454041149
0.002421875,50.0,0.14946412782268087
0.0025,50.0,0.14942885435675074
0.002578125,50.0,0.14939244241607877
0.00265625,50.0,0.14935489021415677
0.0027343750000000003,50.0,0.14931619590400694
0.0028125,50.0,0.14927635757765778
0.002890625,50.0,0.1492353732656021
0.00296875,50.0,0.14919324093623454
0.003046875,50.0,0.14914995849526957
0.003125,50.0,0.14910552378513942
0.0032031250000000002,50.0,0.14905993458437042
0.00328125,50.0,0.14901318860693938
0.003359375,50.0,0.1489652835016076
0.0034375,50.0,0.1489162168512332
0.003515625,50.0,0.14886598617206123
0.00359375,50.0,0.14881458891299065
0.0036718750000000002,50.0,0.1487620224548177
0.00375,50.0,0.148708284109456
0.003828125,50.0,0.1486533711191319
0.00390625,50.0,0.1485972806555547
0.003984375,50.0,0.14854000981906146
0.0040625,50.0,0.14848155563773574
0.004140625,50.0,0.1484219150665
0.00421875,50.0,0.14836108498617953
0.004296875,50.0,0.14829906220253952
0.004375,50.0,0.1482358434452925
0.0044531250000000005,50.0,0.14817142536707723
0.00453125,50.0,0.14810580454240665
0.004609375,50.0,0.14803897746658523
0.0046875,50.0,0.14797094055459437
0.004765625,50.0,0.14790169013994606
0.00484375,50.0,0.1478312224735018
0.004921875,50.0,0.14775953372225858
0.005,50.0,0.14768661996809843
0.005078125,50.0,0.1476124772065032
0.00515625,50.0,0.14753710134523068
0.005234375,50.0,0.1474604882029538
0.0053125,50.0,0.14738263350786007
0.0053906250000000005,50.0,0.14730353289621048
0.0054687500000000005,50.0,0.14722318191085756
0.005546875,50.0,0.14714157599972008
0.005625,50.0,0.14705871051421454
0.005703125,50.0,0.14697458070764063
0.00578125,50.0,0.14688918173352142
0.005859375,50.0,0.14680250864389405
0.0059375,50.0,0.14671455638755299
0.006015625,50.0,0.14662531980824065
0.00609375,50.0,0.14653479364278682
0.006171875,50.0,0.146442972519194
0.00625,50.0,0.1463498509546668
0.006328125,50.0,0.146255423353584
0.0064062500000000005,50.0,0.14615968400541163
0.0064843750000000006,50.0,0.14606262708255532
0.0065625,50.0,0.14596424663814844
0.006640625,50.0,0.145864536603777
0.00671875,50.0,0.14576349078713596
0.006796875,50.0,0.1456611028696171
0.006875,50.0,0.14555736640382447
0.006953125,50.0,0.14545227481101725
0.00703125,50.0,0.14534582137847418
0.007109375,50.0,0.14523799925678113
0.0071875,50.0,0.14512880145703522
0.007265625,50.0,0.14501822084796548
0.0073437500000000005,50.0,0.14490625015296585
0.0074218750000000005,50.0,0.14479288194703718
0.0075,50.0,0.14467810865363706
0.007578125,50.0,0.14456192254143085
0.00765625,50.0,0.14444431572094424
0.007734375,50.0,0.1443252801411105
0.0078125,50.0,0.1442048075857109
0.007890625,50.0,0.1440828896697032
0.00796875,50.0,0.14395951783543506
0.008046875,50.0,0.14383468334873645
0.008125,50.0,0.14370837729488936
0.008203125,50.0,0.14358059057446693
0.00828125,50.0,0.14345131389904037
0.008359375,50.0,0.1433205377867452
0.0084375,50.0,0.14318825255770518
0.008515625,50.0,0.1430544483293054
0.00859375,50.0,0.1429191150113102
0.008671875,50.0,0.14278224230081943
0.00875,50.0,0.1426438196770572
0.008828125000000001,50.0,0.14250383639598535
0.008906250000000001,50.0,0.14236228148473634
0.008984375000000001,50.0,0.14221914373585648
0.0090625,50.0,0.14207441170135307
0.009140625,50.0,0.14192807368653756
0.00921875,50.0,0.14178011774365473
0.009296875,50.0,0.14163053166529146
0.009375,50.0,0.14147930297755365
0.009453125,50.0,0.14132641893300274
0.00953125,50.0,0.1411718665033419
0.009609375,50.0,0.1410156323718398
0.0096875,50.0,0.14085770292548247
0.009765625,50.0,0.1406980642468396
0.00984375,50.0,0.14053670210563468
0.009921875,50.0,0.14037360195000442
0.01,50.0,0.1402087488974341
0.010078125,50.0,0.14004212772535507
0.01015625,50.0,0.13987372286138777
0.010234375,50.0,0.13970351837321512
0.0103125,50.0,0.13953149795806982
0.010390625,50.0,0.1393576449318156
0.01046875,50.0,0.13918194221760594
0.010546875,50.0,0.1390043723340986
0.010625,50.0,0.13882491738320626
0.010703125,50.0,0.13864355903735912
0.010781250000000001,50.0,0.1384602785262589
0.010859375000000001,50.0,0.13827505662309583
0.010937500000000001,50.0,0.13808787363020564
0.011015625,50.0,0.13789870936413642
0.01109375,50.0,0.13770754314009717
0.011171875,50.0,0.13751435375575616
0.01125,50.0,0.1373191194743567
0.011328125,50.0,0.13712181800711432
0.01140625,50.0,0.13692242649485917
0.011484375,50.0,0.13672092148888337
0.0115625,50.0,0.1365172789309516
0.011640625,50.0,0.13631147413243108
0.01171875,50.0,0.13610348175249123
0.011796875,50.0,0.13589327577532684
0.011875,50.0,0.13568082948634583
0.011953125,50.0,0.1354661154472686
0.01203125,50.0,0.13524910547007613
0.012109375,50.0,0.13502977058974208
0.0121875,50.0,0.13480808103568032
0.012265625,50.0,0.13458400620183195
0.01234375,50.0,0.13435751461531592
0.012421875,50.0,0.13412857390355518
0.0125,50.0,0.13389715075979033
0.012578125,50.0,0.13366321090688332
0.01265625,50.0,0.13342671905930648
0.012734375000000001,50.0,0.13318763888320742
0.012812500000000001,50.0,0.13294593295442902
0.012890625000000001,50.0,0.1327015627143567
0.012968750000000001,50.0,0.13245448842345622
0.013046875,50.0,0.13220466911235268
0.013125,50.0,0.13195206253029246
0.013203125,50.0,0.13169662509081556
0.01328125,50.0,0.13143831181445506
0.013359375,50.0,0.13117707626826206
0.0134375,50.0,0.1309128705019421
0.013515625,50.0,0.13064564498037076
0.01359375,50.0,0.13037534851223423
0.013671875,50.0,0.1301019281745254
0.01375,50.0,0.12982532923259713
0.013828125,50.0,0.12954549505545432
0.01390625,50.0,0.12926236702593527
0.013984375,50.0,0.12897588444540528
0.0140625,50.0,0.12868598443254867
0.014140625,50.0,0.12839260181581447
0.01421875,50.0,0.12809566901902292
0.014296875,50.0,0.1277951159396015
0.014375,50.0,0.12749086981886573
0.014453125,50.0,0.12718285510370736
0.01453125,50.0,0.12687099329898943
0.014609375,50.0,0.12655520280988114
0.014687500000000001,50.0,0.12623539877329001
0.014765625000000001,50.0,0.12591149287746414
0.014843750000000001,50.0,0.12558339316874279
0.014921875000000001,50.0,0.12525100384433016
0.015,50.0,0.12491422502984804
0.015078125,50.0,0.12457295254029083
0.01515625,50.0,0.12422707762285984
0.015234375,50.0,0.12387648667998435
0.0153125,50.0,0.12352106097064977
0.015390625,50.0,0.1231606762879402
0.01546875,50.0,0.12279520261046055
0.015546875,50.0,0.12242450372503101
0.015625,50.0,0.12204843681773471
0.015703125000000002,50.0,0.12166685203004367
0.01578125,50.0,0.12127959197634619
0.015859375000000002,50.0,0.12088649121873205
0.0159375,50.0,0.12048737569436116
0.016015625,50.0,0.12008206209013025
0.01609375,50.0,0.11967035715864492
0.016171875,50.0,0.11925205696868882
0.01625,50.0,0.11882694608243598
0.016328125,50.0,0.11839479665055008
0.01640625,50.0,0.11795536741503258
0.016484375,50.0,0.11750840260817665
0.0165625,50.0,0.1170536307342234
0.016640625,50.0,0.11659076321823614
0.01671875,50.0,0.11611949290425429
0.016796875,50.0,0.11563949238187445
0.016875,50.0,0.11515041211693448
0.016953125,50.0,0.11465187835782575
0.01703125,50.0,0.11414349078397346
0.017109375,50.0,0.11362481985700978
0.0171875,50.0,0.1130954038278765
0.017265625,50.0,0.11255474534421267
0.01734375,50.0,0.11200230759151611
0.017421875,50.0,0.11143750988818468
0.0175,50.0,0.11085972263797839
0.017578125,50.0,0.11026826152280975
0.017656250000000002,50.0,0.10966238079290154
0.017734375,50.0,0.10904126547870183
0.017812500000000002,50.0,0.10840402230743625
0.017890625,50.0,0.10774966905399362
0.017968750000000002,50.0,0.10707712198714066
0.018046875,50.0,0.10638518098253082
0.018125,50.0,0.1056725117561911
0.018203125,50.0,0.10493762451565497
0.01828125,50.0,0.10417884811563109
0.018359375,50.0,0.10339429851925669
0.0184375,50.0,0.10258183997242537
0.018515625,50.0,0.10173903674924673
0.01859375,50.0,0.10086309254793976
0.018671875,50.0,0.09995077349418971
0.01875,50.0,0.09899830906182512
0.018828125,50.0,0.09800126275365638
0.01890625,50.0,0.0969543606061956
0.018984375,50.0,0.09585125964484854
0.0190625,50.0,0.09468422881916108
0.019140625,50.0,0.09344369892345246
0.01921875,50.0,0.09211761023674386
0.019296875,50.0,0.09069043635644217
0.019375,50.0,0.08914166698616513
0.019453125,50.0,0.08744333869150687
0.01953125,50.0,0.0855557801003342
0.019609375000000002,50.0,0.08341972623112386
0.0196875,50.0,0.08094022101669257
0.019765625000000002,50.0,0.07794899543250361
0.01984375,50.0,0.07409636501682484
0.019921875000000002,50.0,0.06840064324826299
0.02,50.0,0.052658427965292
