time_s,time_h,C_r0cm,C_r0.5cm,C_r1cm,C_r1.5cm,C_r2cm
0.0,0.0,2.55,2.55,2.55,2.55,2.55
10800.0,3.0,1.766178256566905,1.7165336923219017,1.5701971790987286,1.3332599286611315,1.0081142363314357
14400.0,4.0,1.4536074187447334,1.4133166758869713,1.2935232295183465,1.0959547080171517,0.8153387072321073
21600.0,6.0,1.0155526464077957,0.9868306932064901,0.900554015627518,0.7546351063939382,0.5334501515017843
43200.0,12.0,0.45477002450437987,0.4418503857882448,0.4019579541200609,0.32895731176971615,0.16388432296385796
64800.0,18.0,0.297973844950183,0.29073687346308386,0.2680805969820068,0.22514223024205943,0.0831571851706649
86400.0,24.0,0.23753038811447966,0.23259595115354756,0.21709955223480856,0.1878095734133986,0.0632674660243722
108000.0,30.0,0.20673169713249356,0.2030675920893048,0.19163200286583268,0.17049154369792388,0.057773577772558676
129600.0,36.0,0.18832464809911117,0.1854106866507611,0.17630741211050904,0.15943674421281567,0.05561686235975051
151200.0,42.0,0.17583886440881555,0.17336174733358584,0.16558516272171556,0.1509938311308303,0.0544173226628355
172800.0,48.0,0.16654484772017236,0.16433587028432012,0.15736267968563633,0.14409833228323504,0.05363175121453915
194400.0,54.0,0.15918444254224148,0.15715180153079822,0.15070266246139907,0.13827880191255826,0.05306740446308973
216000.0,60.0,0.1531107773865357,0.15120202728683724,0.1451191973871374,0.13326849275787384,0.05263732769753791
228638.56955758348,63.51071376599541,0.15,0.14814819374664456,0.1422332958702005,0.13064093206045405,0.05242885058480957
