question,time_s,contrast,metric,value
1,1800,L2,end_loss_g,-0.29810108356537623
1,1800,L2,convective_kJ,2.0288554293480363
1,1800,L2,latent_kJ,3.357831233052222
1,1800,L2,sensible_out_kJ,-0.063137655706990398
1,1800,L2,stored_kJ,-1.265838126872679
1,1800,L2,side_convective_kJ,1.8300964891693585
1,1800,L2,end_convective_kJ,0.19875894017867785
1,1800,L2,end_latent_kJ,0.30151434731580101
1,1800,L2,physical_phase_kJ,-7.2636019425041134
1,1800,L2,dry_mass_g,0
1,1800,I,coreT,8.0415119896315446e-08
1,1800,I,sideT,-5.7380726303790652e-07
1,1800,I,end_centerT,-0.96952697956183442
1,1800,I,cornerT,-1.7648784929061421
1,1800,I,coreC,1.4530598946294049e-12
1,1800,I,sideC,9.0426191867720718e-08
1,1800,I,end_centerC,0.18628424815502331
1,1800,I,cornerC,0.44138665290646628
1,1800,I,meanT,-0.13629555012969519
1,1800,I,meanC,0.0062601562509949638
1,1800,I,maxC,1.5658185859024343e-10
1,1800,I,minT,-2.394745943234966e-05
1,1800,I,max_r,0
1,1800,I,max_z,0.093130277626476923
1,1800,I,loss_g,-0.45427678671910998
1,1800,I,side_loss_g,-0.15617392684006504
1,1800,I,end_loss_g,-0.29810108356537623
1,1800,I,convective_kJ,0.29727435311533323
1,1800,I,latent_kJ,0.40863262666976752
1,1800,I,sensible_out_kJ,-0.01348299344412475
1,1800,I,stored_kJ,-0.097875425414292394
1,1800,I,side_convective_kJ,0.098515412936655444
1,1800,I,end_convective_kJ,0.19875894017867785
1,1800,I,end_latent_kJ,0.30151434731580101
1,1800,I,physical_phase_kJ,-1.0985058711202207
1,1800,I,dry_mass_g,0
2,10800,B_to_F00,coreT,0.0050729519433048154
2,10800,B_to_F00,sideT,0.0043651052060056372
2,10800,B_to_F00,end_centerT,0.0050729519433048154
2,10800,B_to_F00,cornerT,0.0043651052060056372
2,10800,B_to_F00,coreC,0.28937174451327219
2,10800,B_to_F00,sideC,0.25211648142679488
2,10800,B_to_F00,end_centerC,0.28937174451327219
2,10800,B_to_F00,cornerC,0.25211648142679488
2,10800,B_to_F00,meanT,0.0060966541478677527
2,10800,B_to_F00,meanC,0.27519288378918771
2,10800,B_to_F00,maxC,0.28937174451327219
2,10800,B_to_F00,minT,0.0050729519433048154
2,10800,B_to_F00,max_r,0
2,10800,B_to_F00,max_z,0
2,10800,B_to_F00,loss_g,-23.778611408460293
2,10800,B_to_F00,side_loss_g,-23.778616637355853
2,10800,B_to_F00,end_loss_g,0
2,10800,B_to_F00,convective_kJ,0.91336960346027141
2,10800,B_to_F00,latent_kJ,0
2,10800,B_to_F00,sensible_out_kJ,5.9734264376533028
2,10800,B_to_F00,stored_kJ,
2,10800,B_to_F00,side_convective_kJ,0.91336960346027141
2,10800,B_to_F00,end_convective_kJ,0
2,10800,B_to_F00,end_latent_kJ,0
2,10800,B_to_F00,physical_phase_kJ,
2,10800,B_to_F00,dry_mass_g,0
2,10800,G0,coreT,0.0014836281566061871
2,10800,G0,sideT,0.00089904985158995032
2,10800,G0,end_centerT,0.16454915053052588
2,10800,G0,cornerT,0.11320067339691775
2,10800,G0,coreC,-3.4993787781267827e-05
2,10800,G0,sideC,-1.2562002834393127e-05
2,10800,G0,end_centerC,-0.90522068172714842
2,10800,G0,cornerC,-0.60821464245317436
2,10800,G0,meanT,0.025423046121417769
2,10800,G0,meanC,-0.062265437007931634
2,10800,G0,maxC,-3.4993787781267827e-05
2,10800,G0,minT,0.0014836281566061871
2,10800,G0,max_r,0
2,10800,G0,max_z,0
2,10800,G0,loss_g,5.3801741178880462
2,10800,G0,side_loss_g,-0.3695292165623556
2,10800,G0,end_loss_g,5.7497030077272822
2,10800,G0,convective_kJ,-0.064982629967246908
2,10800,G0,latent_kJ,0
2,10800,G0,sensible_out_kJ,0.41177335729169062
2,10800,G0,stored_kJ,-0.4767607956085147
2,10800,G0,side_convective_kJ,-1.2544156726844875
2,10800,G0,end_convective_kJ,1.1894330427172393
2,10800,G0,end_latent_kJ,0
2,10800,G0,physical_phase_kJ,12.867892505764019
2,10800,G0,dry_mass_g,0
2,10800,G1,coreT,2.8435897974077307e-06
2,10800,G1,sideT,5.3422487411580732e-07
2,10800,G1,end_centerT,0.028286573259663328
2,10800,G1,cornerT,0.069390093329083413
2,10800,G1,coreC,-2.1648881842750711e-07
2,10800,G1,sideC,-5.2298401920225501e-07
2,10800,G1,end_centerC,-0.32425973930931207
2,10800,G1,cornerC,-0.3329132731142177
2,10800,G1,meanT,0.0069777782436375446
2,10800,G1,meanC,-0.023314697021932229
2,10800,G1,maxC,-2.1648881842750711e-07
2,10800,G1,minT,2.8435897974077307e-06
2,10800,G1,max_r,0
2,10800,G1,max_z,0
2,10800,G1,loss_g,2.0145547114335791
2,10800,G1,side_loss_g,0.25624647917799592
2,10800,G1,end_loss_g,1.7583021782109682
2,10800,G1,convective_kJ,4.8364641973410727
2,10800,G1,latent_kJ,4.8473739025477869
2,10800,G1,sensible_out_kJ,0.10253928252732813
2,10800,G1,stored_kJ,-0.11345188170335874
2,10800,G1,side_convective_kJ,-0.15767981637924322
2,10800,G1,end_convective_kJ,4.994144013720323
2,10800,G1,end_latent_kJ,4.2298408417206437
2,10800,G1,physical_phase_kJ,4.8473739025480427
2,10800,G1,dry_mass_g,0
2,10800,L1,coreT,-7.6609921027602894
2,10800,L1,sideT,-7.7661758535392948
2,10800,L1,end_centerT,-7.6609921027602894
2,10800,L1,cornerT,-7.7661758535392948
2,10800,L1,coreC,0.39475623141515515
2,10800,L1,sideC,0.91021520382105514
2,10800,L1,end_centerC,0.39475623141515515
2,10800,L1,cornerC,0.91021520382105514
2,10800,L1,meanT,-7.7009253870081906
2,10800,L1,meanC,0.65758260818086711
2,10800,L1,maxC,0.39475623141515515
2,10800,L1,minT,-7.6609921027602894
2,10800,L1,max_r,0
2,10800,L1,max_z,0
2,10800,L1,loss_g,-56.819787974142997
2,10800,L1,side_loss_g,-56.81978461858472
2,10800,L1,end_loss_g,0
2,10800,L1,convective_kJ,41.670064698043092
2,10800,L1,latent_kJ,48.777144609988412
2,10800,L1,sensible_out_kJ,-4.9070866993579934
2,10800,L1,stored_kJ,-2.1999969603045013
2,10800,L1,side_convective_kJ,41.670064698043092
2,10800,L1,end_convective_kJ,0
2,10800,L1,end_latent_kJ,0
2,10800,L1,physical_phase_kJ,-135.58232957397169
2,10800,L1,dry_mass_g,0
2,10800,L2,coreT,-7.6624728873270982
2,10800,L2,sideT,-7.7670743691660107
2,10800,L2,end_centerT,-7.797254680031152
2,10800,L2,cornerT,-7.8099864336071292
2,10800,L2,coreC,0.39479100871411799
2,10800,L2,sideC,0.91022724283987033
2,10800,L2,end_centerC,0.9757171738329915
2,10800,L2,cornerC,1.1855165731600117
2,10800,L2,meanT,-7.7193706548859709
2,10800,L2,meanC,0.69653334816686652
2,10800,L2,maxC,0.39479100871411799
2,10800,L2,minT,-7.6624728873270982
2,10800,L2,max_r,0
2,10800,L2,max_z,0
2,10800,L2,loss_g,-60.185407380597461
2,10800,L2,side_loss_g,-56.194008922844361
2,10800,L2,end_loss_g,-3.9914008295163139
2,10800,L2,convective_kJ,46.571511525351411
2,10800,L2,latent_kJ,53.624518512536199
2,10800,L2,sensible_out_kJ,-5.2163207741223561
2,10800,L2,stored_kJ,-1.8366880463993454
2,10800,L2,side_convective_kJ,42.766800554348336
2,10800,L2,end_convective_kJ,3.8047109710030838
2,10800,L2,end_latent_kJ,4.2298408417206437
2,10800,L2,physical_phase_kJ,-143.60284817718767
2,10800,L2,dry_mass_g,0
2,10800,I,coreT,-0.0014807845668087793
2,10800,I,sideT,-0.00089851562671583451
2,10800,I,end_centerT,-0.13626257727086255
2,10800,I,cornerT,-0.043810580067834337
2,10800,I,coreC,3.477729896284032e-05
2,10800,I,sideC,1.2039018815190872e-05
2,10800,I,end_centerC,0.58096094241783636
2,10800,I,cornerC,0.27530136933895666
2,10800,I,meanT,-0.018445267877780225
2,10800,I,meanC,0.038950739985999405
2,10800,I,maxC,3.477729896284032e-05
2,10800,I,minT,-0.0014807845668087793
2,10800,I,max_r,0
2,10800,I,max_z,0
2,10800,I,loss_g,-3.3656194064544707
2,10800,I,side_loss_g,0.62577569574035863
2,10800,I,end_loss_g,-3.9914008295163139
2,10800,I,convective_kJ,4.9014468273083196
2,10800,I,latent_kJ,4.8473739025477869
2,10800,I,sensible_out_kJ,-0.30923407476436271
2,10800,I,stored_kJ,0.36330891390515596
2,10800,I,side_convective_kJ,1.0967358563052443
2,10800,I,end_convective_kJ,3.8047109710030838
2,10800,I,end_latent_kJ,4.2298408417206437
2,10800,I,physical_phase_kJ,-8.0205186032159759
2,10800,I,dry_mass_g,0
