question,nr,nz,latent,paired_mid_T_core,paired_mid_C_core,paired_loss_g,paired_heat_kJ,equal_1D,equal_2D,end_effect_s
1,48,64,0,1.5731134794805257e-07,8.6064488868942135e-13,0.62262935198253988,0.22228848691106418,,,
1,48,64,1,-1.1002153499362066e-07,1.7861268020169518e-12,0.16835351317071034,0.51951941304160343,,,
1,96,128,0,-3.4044468577576481e-08,7.0832228971084987e-13,0.62264952821136665,0.2222233946550487,,,
1,96,128,1,4.6370651318738965e-08,2.1613821843402548e-12,0.16837274149225645,0.51949774777038193,,,
23,24,32,0,0.0014713294748958106,-3.8605741852215658e-05,5.3866197051628291,-0.065154646461174082,214316.73720217851,214299.46374218684,-17.273459991673008
23,24,32,1,2.2713000973340058e-06,-4.3175390818106507e-07,2.0146934740792304,4.8366748676550273,264550.65494732471,264310.81963297393,-239.83531435078476
23,48,64,0,0.0014853591910366504,-3.5311910168367433e-05,5.3814335838205665,-0.064993363528625281,214400.4285831952,214383.71936519252,-16.709218002681155
23,48,64,1,2.9121550468858004e-06,-2.3030604801022037e-07,2.014569321654669,4.8365010021450558,264619.81318374607,264381.98161063512,-237.83157311094692
23,96,128,0,0.0014836281566061871,-3.4993787781267827e-05,5.3801741178880462,-0.064982629967246908,214422.1177813806,214405.54439099232,-16.573390388279222
23,96,128,1,2.8435897974077307e-06,-2.1648881842750711e-07,2.0145547114335791,4.8364641973410727,264637.76687367249,264400.4004572159,-237.36641645658528
