question,group,case,time_s,coreT,sideT,end_centerT,cornerT,coreC,sideC,end_centerC,cornerC,meanT,meanC,maxC,minT,max_r,max_z,loss_g,side_loss_g,end_loss_g,convective_kJ,latent_kJ,sensible_out_kJ,stored_kJ,side_convective_kJ,end_convective_kJ,end_latent_kJ,physical_phase_kJ,dry_mass_g
1,B,q1_B_r512_v2,1800,33.575344151600603,36.785559809058981,33.575344151600603,36.785559809058981,2.5499923869946559,1.5102375121638869,2.5499923869946559,1.5102375121638869,35.167916057693681,2.2935564109992912,2.5499923869946559,33.575344151600603,0,0,18.609179214567867,18.609179211542685,0,4.8009809553468488,0,0,,4.8009809553468488,0,0,,72.566365519538891
1,F00,q1_F00_r96_z0_v2,1800,32.286439546059931,36.003189626689419,32.286439546059931,36.003189626689419,2.5499984408004046,2.3127308224428256,2.5499984408004046,2.3127308224428256,34.122684573741637,2.4982262669026269,2.5499984408004046,32.286439546059931,0,0,3.7570316402550374,3.7570315416188045,0,5.3316371130807338,0,0.059698577245323528,5.2719382399673407,5.3316371130807338,0,0,9.1142946777663472,72.566365519538891
1,F10,q1_F10_r96_z128_v2,1800,32.286439512015463,36.003190086040476,36.423562612998836,38.434447004537972,2.5499984408011129,2.3127307938087376,2.3010777208817417,1.7003218992929114,34.387760783964623,2.4896458519438021,2.5499984408011134,32.286439512015463,0,0.0058133573757977869,4.3796811684664041,3.9574242973252272,0.42225663850453538,5.5538605077357825,0,0.075558802860989288,5.4783015656166913,5.2049020256591376,0.34895848207664509,0,10.621433175556337,72.566365519538891
1,F01,q1_F01_r96_z0_v2,1800,31.119095637757951,34.284292717412143,31.119095637757951,34.284292717412143,2.5499991138805749,2.4803454302030135,2.5499991138805749,2.4803454302030135,32.69723935411804,2.533276689002629,2.5499991138805749,31.119095637757951,0,0,1.2135498985321458,1.2135501717429644,0,7.0632181893134369,2.9491986063824545,0.010043914982457883,4.103975538508954,7.0632181893134369,0,0,2.949198606382454,72.566365519538891
1,F11,q1_F11_r96_z128_v2,1800,31.119095684128602,34.284292602955937,34.286691725135022,34.950671602354554,2.5499991138827363,2.4803454919951173,2.4873626421169353,2.3093231599595656,32.826020014211331,2.5309564302947991,2.5499991140378655,31.11907165625405,0,0.09894363500227471,1.3819226400244022,1.2577690006093218,0.12415555493915917,7.5827159370838189,3.357831233052222,0.012421147153998884,4.2124634387440123,7.0349985148284961,0.54771742225532294,0.30151434731580101,3.3578312330522233,72.566365519538891
2,B,q23_B_r512_v2,10800,49.849495774010038,49.966412863677874,49.849495774010038,49.966412863677874,1.7661775138652225,1.0081229203749333,1.7661775138652225,1.0081229203749333,49.904328814156827,1.3825263481942205,1.7661775138652225,49.849495774010038,0,0,100.87798025028876,100.87798025878068,0,20.939861767258574,0,0,,20.939861767258574,0,0,,86.407072308875328
2,F00,q23_F00_r96_z0_v2,10800,49.854568725953342,49.97077796888388,49.854568725953342,49.97077796888388,2.0555492583784947,1.2602394018017282,2.0555492583784947,1.2602394018017282,49.910425468304695,1.6577192319834082,2.0555492583784947,49.854568725953342,0,0,77.099368841828465,77.099363621424828,0,21.853231370718845,0,5.9734264376533028,15.879806275769976,21.853231370718845,0,0,184.35947418396012,86.407072308875328
2,F10,q23_F10_r96_z128_retry,10800,49.856052354109949,49.97167701873547,50.019117876483868,50.083978642280798,2.0555142645907134,1.2602268397988938,1.1503285766513462,0.65202475934855386,49.935848514426112,1.5954537949754766,2.0555142645907134,49.856052354109949,0,0,82.479542959716511,76.729834404862473,5.7497030077272822,21.788248740751598,0,6.3851997949449935,15.403045480161461,20.598815698034358,1.1894330427172393,0,197.22736668972414,86.407072308875328
2,F01,q23_F01_r96_z0_v2,10800,42.193576623193053,42.204602115344585,42.193576623193053,42.204602115344585,2.4503054897936498,2.1704546056227834,2.4503054897936498,2.1704546056227834,42.209500081296504,2.3153018401642753,2.4503054897936498,42.193576623193053,0,0,20.279580867685471,20.279579002840112,0,63.523296068761937,48.777144609988412,1.0663397382953095,13.679809315465475,63.523296068761937,0,0,48.777144609988426,86.407072308875328
2,F11,q23_F11_r96_z128_v2,10800,42.19357946678285,42.204602649569459,42.221863196452716,42.273992208673668,2.4503052733048314,2.1704540826387642,2.1260457504843377,1.8375413325085657,42.216477859540142,2.2919871431423431,2.4503052733048314,42.19357946678285,0,0,22.29413557911905,20.535825482018108,1.7583021782109682,68.359760266103009,53.624518512536199,1.1688790208226376,13.566357433762116,63.365616252382694,4.994144013720323,4.2298408417206437,53.624518512536469,86.407072308875328
