case,ceq,dimension,nr,nz,status,equal_s,equal_h,final_time_s,final_maxC,Tcore_3h,Tside_3h,Ccore_3h,Cside_3h,loss_3h_g
q23_sensitivity_eq0.050_paired1D,0.050000000000000003,1,32,0,crossed_and_continued,257007.93497092457,71.391093047479046,257607.93497092457,0.14982551764747223,42.056442665100882,42.065069789256263,2.448086796113798,2.1618073404275515,20.739750764916714
q23_sensitivity_eq0.050_1D,0.050000000000000003,1,48,0,crossed_and_continued,257172.79683361921,71.436888009338674,257772.79683361921,0.14982581581761548,42.056435738773395,42.065057288680293,2.4480809493638667,2.1617452295253203,20.739704025061283
q23_sensitivity_eq0.050_2D,0.050000000000000003,2,32,48,crossed_and_continued,256814.96825509859,71.337491181971828,257414.96825509859,0.14982543959472669,42.056444350404178,42.065071392729799,2.4480866746901264,2.1618070596231207,22.793443915431837
q23_sensitivity_eq0.120_paired1D,0.12,1,32,0,crossed_and_continued,306784.0529489129,85.217792485809142,307384.0529489129,0.14988035897575802,42.432674890874182,42.447565700211015,2.4542980664746681,2.1857739384851773,19.472668889527561
q23_sensitivity_eq0.120_1D,0.12,1,48,0,crossed_and_continued,306774.68454281974,85.215190150783258,307374.68454281974,0.14988035097979885,42.43267771637403,42.447562142459908,2.4542926320997709,2.1857165391802647,19.472592338241945
q23_sensitivity_eq0.120_2D,0.12,2,32,48,crossed_and_continued,306397.85550101765,85.11051541694934,306997.85550101765,0.14988026895115708,42.432678784373962,42.447567374346718,2.4542978860038622,2.1857735535120977,21.419525849464911
q23_sensitivity_eq0.200_paired1D_eventchecked,0.20000000000000001,1,32,0,equilibrium_above_threshold_and_no_crossing_in_horizon,,,864000,0.20000032387249916,42.835727005083996,42.856232595851765,2.461294281441218,2.2113664330875227,18.099066201482799
q23_sensitivity_eq0.200_1D_eventchecked,0.20000000000000001,1,48,0,equilibrium_above_threshold_and_no_crossing_in_horizon,,,864000,0.20000032379924304,42.8357374859035,42.856239028954221,2.4612893564670557,2.2113135151529755,18.098976423904318
q23_sensitivity_eq0.200_2D_eventchecked,0.20000000000000001,2,32,48,equilibrium_above_threshold_and_no_crossing_in_horizon,,,864000,0.20000030008461497,42.835731914152468,42.856235560346136,2.4612941003419118,2.2113661616029265,19.932927770793444
